;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC
1984;25.5;25.8;26.5;27.4;27.3;27.5;27.1;27.4;26.8;27.4;26.5;26
1985;26.6;27;27.1;27.5;28;28.2;27;27.7;26.9;26.7;26.6;26.1
1986;25.7;26.9;26.4;27.4;28.2;27.9;27.8;28.3;26.7;26.9;26.6;26.4
1987;25.5;26.6;27.5;27.9;27.6;28.7;28.1;27.4;27.6;27.9;27.3;26.5
1988;26.8;27.2;27.3;27.8;28.4;28;27.3;27;27.1;27.4;26.3;26.2
1989;26.5;26.6;26.3;27;27.2;27.5;27.7;27.2;26.9;27.1;26.7;26.3
1990;26.2;27.6;28.2;28.5;28.6;28.3;27.5;28;27.2;27.5;27.2;26.3
1991;26.7;27.1;27.8;27.7;27.7;28.6;28.5;28.2;27.5;27.5;26.3;25.6
1992;26.6;27.5;28.2;28.4;28.1;28;27.3;27.8;27.3;27.4;26.1;25.5
1993;26.2;26.7;26.7;27.6;28.2;28.5;27.9;28.6;27.9;27.5;26.9;26.5
1994;26.9;27;26.8;27.9;28.1;28.1;28.4;28.1;28.4;27.9;26.7;26.9
1995;26.8;26.5;27.6;27.9;28.5;28.9;28;27.4;28.3;27.8;27;26.3
1996;26.2;26.5;27.7;27.8;28.5;28.3;28.3;27.4;27.7;27.5;27.3;26.6
1997;27.1;27.4;28.1;28.1;29.3;29.3;28.8;28.8;28.8;28.2;27.8;27.3
1998;28;28.9;29.5;29.2;29.4;28.6;28.1;27.5;27.9;28;28;26.6
1999;26.6;27.2;27.1;28.3;28;28.2;27.8;27.5;27.9;27.2;27.3;26.8
2000;26.3;26.6;27.2;27.5;28.6;27.6;28.1;27.5;28;27.8;27.3;27
2001;26.5;27;27.4;27.7;28.5;28.1;28.4;28;28;27.6;27.2;26.7
2002;27;27.3;28.2;28.6;28.9;28.7;28.4;28.5;28.1;28.7;27.4;27.2
2003;26.7;27.1;28.1;27.9;29.2;28.9;28.1;28.2;27.6;27.6;27.1;26.5
2004;26.9;27.6;27.7;28.9;28.9;29;27.3;28.2;27.8;27.8;27.3;26.8
2005;26.6;28.5;28.5;28.7;28.5;28.8;28;28.2;28.2;27.6;27.3;27.2
2006;26.5;27.5;28.3;27.6;28.1;27.8;28.4;28.3;28;28.3;27.2;26.6
2007;26.5;27.2;27.5;28.1;28.3;28.4;27.7;27.7;27.8;27.8;26.9;26.4
2008;26.8;26.7;26.5;28.1;28.8;28.2;27.8;27.5;27.7;27.6;27.3;26.9
2009;26.8;27.3;27.2;28.5;28.7;29.1;28.3;28.3;28.3;28.3;27.2;27.1
2010;27.5;28.9;28.6;28.6;29.2;28.3;27.7;27.9;28;28.3;27.4;26.8
2011;26.3;27.3;27;27.9;28.5;28.4;28.7;27.9;27.8;27.3;27.1;26.6
2012;26.7;27.2;27;27.6;28.2;28.7;27.7;28;27.9;27.7;27.1;26.7
2013;27;26.5;28.3;28.2;28.2;29;27.8;27.9;27.5;27.7;27.1;26.5
2014;26.2;27.2;27.9;28.2;28.6;29;28.7;27.7;28.5;28.4;27.5;27
